Train No.,From,To,Train Name
19107/19108,Ahmedabad Udhampur Janmabhoomi 45 22101/22102 Lokmanya Tilak (T) Manmad Rajya Rani 24,,
19109/19110,Valsad Ahmedabad Gujarat Queen 11 22103/22104 Lokmanya Tilak (T) Faizabad 6,,
19113/19114,Bhilad Vadodara 11 22105/22106 Mumbai CST Pune Indrayani 19,,
19115/19116,Bandra (T) Bhuj Sayaji Nagari 11 22109/22110 Lokmanya Tilak (T) Nizamuddin 2,,
19119/19120,"Ahmedabad Somnath Intercity 11,76 22111/22112 Bhusaval Nagpur 2,8",,
19129/19130,Vadodara Ahmedabad 11 22113/22114 Lokmanya Tilak(T) Kochuveli 26,,
19131/19132,"Bandra (T) Bhuj Kutch 11 22131/22132 Pune Manduadih 6,44",,
19143/19144,Bandra (T) Ahmedabad Lokshakti 11 22133/22134 Solapur Yesvantpur 10,,
19151/19152,Palanpur Gandhidham 11 22145/22146 Pandarpur Miraj 44,,
19165/19166,"Ahmedabad Darbhanga Sabarmati 22,33",,
22149/22150,"Ernakulam Pune 26,91",,
19167/19168,Ahmedabad Varanasi Sabarmati 33,,
22161/22162,Bhopal Damoh Rajya Rani 43,,
19201/19202,"Secunderabad Porbandar 11,31",,
22181/22182,Jabalpur Nizamuddin Gondwana 56,,
19215/19216,Mumbai Central Porbandar Saurashtra 11,,
22183/22184,Habibganj Indore AC Double Decker 43,,
19221/19222,"Ahmedabad Veraval Somnath 11,76",,
22185/22186,Bhopal Indore AC Double Decker 43,,
19223/19224,"Ahmedabad Jammu Tawi 23,45",,
22187/22188,Habibganj Jabalpur Intercity 43,,
19225/19226,Bhatinda Jammu Tawi 51,,
22201/22202,Sealdah Puri Duronto 7,,
19251/19252,Somnath Okha 76,,
22203/22204,Visakhapatnam Secunderabad AC Duronto 30,,
19259/19260,"Kochuveli Bhavnagar 26,76",,
22205/22206,Chennai Madurai AC Duronto 21,,
19261/19262,"Kochuveli Porbandar 26,11",,
19263/19264,"Porbandar Delhi Sarai Rohilla 11,23 22207/22208 Chennai Thiruvananthapuram AC Duronto 86",,
19269/19270,"Porbandar Muzaffarpur 11,23,64 22209/22210 Mumbai Centrtal New Delhi AC Duronto 3",,
19301/19302,"Indore Yesvantpur 8,52,53 22211/22212 Ajmer Nizamuddin Duronto 23",,
19305/19306,Howrah Indore 65 22213/22214 Shalimar Patna Duronto 12,,
19307/19308,"Indore Chandigarh 4,15 22307/22308 Howrah Bikaner Link 23,65",,
19309/19310,Gandhinagar Indore Shanti 33 22309/22310 Howrah New Jalpaiguri AC 29,,
19311/19312,"Pune Indore 3,31 22351/22352 Pataliputra Yesvantpur 17,20",,
19313/19314,Indore Rajendranagar 35 22401/22402 Delhi Sarai Rohilla Udhampur AC 16,,
19321/19322,Indore Rajendranagar 35 22403/22404 Puducherry New Delhi 8,,
19323/19324,Indore Habibganj Intercity 43 22405/22406 Bhagalpur Anand Vihar (T) Garib Rath 1,,
19325/19326,Indore Amritsar 4 22407/22408 Varanasi Anand Vihar (T) Garib Rath 25,,
19327/19328,Ratlam Udaipur City 54 22409/22410 Sasaram Anand Vihar (T) Garib Rath 1,,
19329/19330,"Indore Udaipur City 3, 54 22441/22442 Allahabad Kanpur Central Intercity 1",,
19403/19404,"Ahmedabad Sultanpur 23,25 22447/22448 Khajuraho Nizamuddin Link 56",,
19405/19406,"Yesvantpur Ahmedabad AC 31,19 22451/22452 Bandra (T) Chandigarh 11,23,27",,
19407/19408,"Ahmedabad Varanasi 23,25 22453/22454 Lucknow Meerut City Rajya Rani 88",,
19409/19410,"Ahmedabad Gorakhpur 23,79,82 22455/22456 Sai Nagar Shirdi Kalka 2,27",,
19411/19412,"Ahmedabad Ajmer Intercity 23 22457/22458 Hazur Saheb Nanded Nangal Dam 2,27,53",,
19451/19452,Gandhidham Bandra (T) 11 22461/22462 New Delhi Katra AC 16,,
19565/19566,"Okha Dehradun Uttaranchal 11,23,75 22463/22464 Delhi Sarai Rohilla Bikaner Link 23",,
19567/19568,"Tuticorin Okha Vivek 31,70 22471/22472 Bikaner Delhi Sarai Rohilla Intercity 59",,
19569/19570,"Okha Varanasi 3,33,34,65 22473/22474 Bikaner Bandra (T) 11,23",,
19571/19572,"Rajkot Porbandar 11 22475/22476 Bikaner Coimbatore AC 23,26",,
19573/19574,Okha Jaipur 23 22477/22478 Jodhpur Jaipur 28,,
19575/19576,"Okha Nathdwara 11,54 22481/22482 Jodhpur Delhi Sarai Rohilla 59",,
19577/19578,Hapa Tirunelveli 26 22487/22488 Radhikapur Anand Vihar (T) Link 18,,
19601/19602,"Udaipur City New Jalpaiguri 54,18,23 22601/22602 Chennai Sai Nagar Shirdi 10,20",,
19605/19606,"Kolkata Ahmedabad 23,43,54,73 22603/22604 Kharagpur Villupuram 7",,
19607/19608,"Kolkata Udaipur City 54,73,77 22605/22606 Purulia Villupuram 7,87",,
19609/19610,"Ajmer Haridwar 23,84 22607/22608 Ernakulam Bangalore 86",,
19653/19654,Ratlam Ajmer 54 22609/22610 Mangalore Central Coimbatore Intercity 86,,
19659/19660,"Shalimar Udaipur City 32,72 22611/22612 Chennai New Jalpaiguri 29",,
19665/19666,"Udaipur City Khajuraho 79,23,54,56 22613/22614 Chennai Haldia 7",,
19707/19708,"Bandra (T) Jaipur Aravali 11, 23 22615/22616 Tirupati Coimbatore Intercity 70",,
19709/19710,"Kamakhya Jaipur Kavi Guru 13,79 22617/22618 Bangalore Tirupati Intercity 20",,
19711/19712,"Bhopal Jaipur 43,54 22619/22620 Bilaspur Tirunelveli 8,42,86",,
19713/19714,"Jaipur Secunderabad 3,8,53 22625/22626 Chennai Bangalore AC Double Decker 20",,
19715/19716,Jaipur Lucknow 79 22627/22628 Tiruchchirappalli Tirunelveli Intercity 21,,
19735/19736,"Jaipur Loharu Intercity 77 22629/22630 Dadar Tirunelveli 69,26",,
19771/19772,"Ajmer Amritsar (via Bathinda) 80 22631/22632 Chennai Bikaner AC 3,8,28",,
19781/19782,"Ajmer Amritsar (via Hissar) 80 22633/22634 Thirunanthapuram Nizamuddin 26,3",,
19801/19802,Kota Indore Intercity 72 22635/22636 Madgaon Mangalore Intercity 26,,
19803/19804,"Kota Jammu Tawi 3,16 22681/22682 Mysore Chennai 20",,
19943/19944,"Udaipur City Ahmedabad 77 22683/22684 Yesvantpur Lucknow 17,25,52",,
21067/21068,"Lokmanya Tilak (T) Rae Bareli Link 6 22685/22686 Yesvantpur Chandigarh Karnataka 9,19,27",,
21107/21108,Khajuraho Varanasi Link 47 Sampark Kranti,,
22687/22688,"Madurai Chandigarh Link 8,27",,
22691/22692,"Bangalore Nizamuddin Rajdhani 9 22915/22916 Bandra (T) Hisar 11,23,59",,
22693/22694,"Bangalore Nizamuddin Rajdhani 9 22917/22918 Bandra (T) Haridwar 3,75",,
22801/22802,"Visakhapatnam Sai Nagar Shirdi 30,53 22919/22920 Rajkot Delhi Sarai Rohilla 11,23",,
22803/22804,"Howrah Sambalpur 7,78 22925/22926 Bandra (T) Kalka Paschim Link 27",,
22805/22806,"Bhubaneswar New Delhi Via Sambalpur 78,41",,
22981/22982,Kota Sri Ganga Nagar 28,,
22807/22808,Santragachi Chennai AC 7,,
22995/22996,"Bandra (T) Ajmer 3,54",,
22811/22812,"Bhubaneswar New Delhi Rajdhani 1,32",,
23225/23226,Saharsa Danapur Link 90,,
22815/22816,"Bilaspur Ernakulam 8,42",,
23345/23346,Varanasi Shaktinagar Link 25,,
22817/22818,"Howrah Mysore 7,20",,
23347/23348,Patna Singrauli Link 48,,
22823/22824,"Bhubaneswar New Delhi Rajdhani 1,32",,
24041/24042,Delhi Sarai Rohilla Kotdwara Mussoorie Link 75,,
22825/22826,Shalimar Chennai 7,,
22827/22828,"Puri Surat 34,78 24227/24228 Varanasi Kanpur 25",,
22829/22830,"Shalimar Bhuj 4,32,11 24369/24370 Shakthinagar Bareilly Triveni 25",,
22831/22832,"Howrah Sri Sathya Sai 7,49 24887/24888 Haridwar Barmer Link 45",,
22835/22836,Shalimar Puri 7 25035/25036 Delhi Ramnagar Link Exp 55,,
22843/22844,"Bilaspur Patna 5,36 25201/25202 Hajipur Narkatiaganj Intercity Link 64",,
22845/22846,"Pune Hatia 5,44 25609/25610 Guwahati Darbhanga Link 90",,
25631/25632,"Bikaner Guwahati 18,28",,
22847/22848,"Visakhapatnam Lokmanya Tilak (T) 42,5",,
25715/25716,Radhikapur Delhi Link 18,,
22849/22850,Shalimar Secunderabad 30,,
28181/28182,Tatanagar Katihar Link 37,,
22851/22852,"Santragachi Mangalore Vivek 7,86",,
29005/29006,Veraval Okha Link 11,,
22853/22854,Shalimar Visakhapatnam 7,,
29019/29020,"Meerut Mandsor Link 3,54,75",,
22855/22856,Santragachi Tirupati 7,,
52541/52540,New Jalpaiguri Darjeeling 95,,
22859/22860,Puri Chennai 7,,
52545/52544,Kurseong Darjeeling 95,,
22861/22862,Shalimar Bankura Rajya Rani 87,,
52546,Ghum Darjeeling 95,,
22865/22866,"Lokmanya Tilak (T) Puri 5,78",,
52457/52458,Kalka Shimla 94,,
22869/22870,Visakhapatnam Chennai 7 52451/52452 Kalka Shimla Shivalik 94,,
22871/22872,Bhubaneswar Tirupati 7 52453/52454 Kalka Shimla Mail 94,,
22873/22874,Digha Visakhapatnam 7 52455/52456 Kalka Shimla 94,,
22875/22876,Kharagpur Purulia Intercity 87 52461/52462 Pathankot Jn. Jwalamukhi Road 96,,
22877/22878,Digha Puri 7 52463/52464 Pathankot Jn. Baijnath Paprola 96,,
22879/22880,Bhubaneswar Tirupati 7 52465/52466 Pathankot Jn. Baijnath Paprola 96,,
22881/22882,"Pune Bhubaneswar 10,30 52467/52468 Pathankot Jn. Baijnath Paprola 96",,
22883/22884,"Puri Yesvantpur Garib Rath 7,49 52469/52470 Pathankot Jn. Baijnath Paprola 96",,
22889/22890,Digha Puri 7 52471/52472 Pathankot Jn. Joginder Nagar 96,,
22893/22894,Sai Nagar Shirdi Howrah 5 52473/52474 Pathankot Jn. Joginder Nagar 96,,
22901/22902,"Bandra (T) Udaipur City 3,54 56137/56136 Udagamandalam Mettupalayam 97",,
22903/22904,Bandra (T) Bhuj AC 11 56140/56138 Coonoor Udagamandalam 97,,
22905/22906,Okha Howrah Link 34 56139/56141 Coonoor Udagamandalam 97,,
22907/22908,Madgaon Hapa 26 56142/56143 Coonoor Udagamandalam 97,,
22909/22910,"Valsad Puri 3,32,33,43,78 84369/84370 Barwadih Bareilly 25,73",,
