Train No.,From,To,Train Name
12337/12338,Howrah,Bolpur ,Shantiniketan
12193/12194,Yesvantpur,Jabalpur ,
12339/12340,Howrah,Dhanbad,Coalfield
12195/12196,Agra Fort,Ajmer,Intercity 
12341/12342,Howrah,Asansol ,Agniveena
12197/12198,Bhopal,Gwalior,Intercity
12343/12344,Sealdah,New Jalpaiguri,Darjeeling Mail
12201/12202,Lokmanya Tilak (T),Kochuveli ,Garib Rath 
12345/12346,Howrah,Guwahati ,Saraighat 
12203/12204,Saharsa,Amritsar,Garib Rath 
12347/12348,Howrah,Rampurhat ,
12205/12206,New Delhi  ,Dehradun,AC
12349/12350,Bhagalpur,New Delhi,
12207/12208,Kathgodam,Jammu Tawi,Garib Rath
12351/12352,Howrah,Danapur,
12209/12210,Kanpur Central,Kathgodam,Garib Rath
12353/12354,Howrah,Lalkuan,
12211/12212,Muzaffarpur,Anand Vihar (T),Garib Rath
12355/12356,Rajendranagar,Jammu Tawi,Archana
12213/12214,Yesvantpur,Delhi Sarai Rohilla,AC Duronto
12357/12358,Kolkata,Amritsar,Durgiana
12215/12216,Delhi Sarai Rohilla,Bandra (T),Garib Rath 
12359/12360,Kolkata,Patna,Garib Rath
12217/12218,Kochuveli,Chandigarh,Kerala Sampark Kranti
12219/12220,Lokamanya Tilak (T),Secunderabad,AC Duronto
12361/12362,Asansol ,Mumbai CST,
12221/12222,Pune,Howrah ,AC Duronto
12363/12364,Kolkata,Haldibari,Intercity
12223/12224,Lokmanya Tilak (T),Ernakulam,AC Duronto
12365/12366,Patna,Ranchi ,Jan Shatabdi 
12225/12226,Azamgarh  1,Delhi,Kaifiyaat
12367/12368,Bhagalpur,Anand Vihar (T),Vikramshila
12227/12228,Mumbai Central  ,Indore,AC Duronto
12369/12370,Howrah,Haridwar,Kumbha
12229/12230,Lucknow,New Delhi,Lucknow Mail
12371/12372,Howrah,Jaisalmer,
12231/12232,Lucknow,Chandigarh,
12373/12374,Sealdah ,Rampurhat,Intercity
12233/12234,Lucknow ,New Delhi ,AC
12375/12376 ,Chennai,Asansol,
12235/12236,Dibrugarh,New Delhi,Rajdhani
12377/12378,Sealdah ,New Jalpaiguri,Padatik
12237/12238,Varanasi,Jammu Tawi,
12379/12380,Sealdah,Amritsar,Sealdah Jallianwala Bagh
12239/12240,Mumbai Central Jaipur AC Duronto,,
12381/12382,Howrah (via Gaya),New Delhi,Poorva
12241/12242,Chandigarh Amritsar,,
12383/12384,Sealdah,Asansol,Intercity
12243/12244,Chennai Central,Coimbatore ,AC Duronto
12385/12386,Howrah ,Dhanbad,AC Double Decker
12245/12246,Howrah,Yesvantpur,Duronto 
12387/12388,Rajendranagar,Anand Vihar (T),Jan Sadharan
12247/12248,Bandra (T),Nizamuddin,Yuva
12389/12390,Gaya,Chennai,Egmore 
12249/12250,Howrah,New Delhi,Yuva
12391/12392,Rajgir,New Delhi,Shramjeevi 
12251/12252,Yesvantpur,Korba,Wainganga 
12393/12394,Rajendranagar,New Delhi,Sampoorna Kranti
12253/12254,Yesvantpur,Bhagalpur,Anga
12395/12396,Rajendranagar,Ajmer,Ziyarat
12255/12256,Yesvantpur,Puducherry,Garib Rath
12397/12398,Gaya,New Delhi,Mahabodhi
12257/12258,Yesvantpur,Kochuveli ,Garib Rath
12401/12402,Islampur,New Delhi,Magadh 
12259/12260,Sealdah,New Delhi ,AC Duronto
12403/12404,Allahabad ,Jaipur ,
12261/12262,Mumbai CST,Howrah ,AC Duronto 
12405/12406,Bhusaval ,Nizamuddin ,Gondwana 
12263/12264,Pune,Nizamuddin,AC Duronto
12407/12408,New Jalpaiguri,Amritsar,Karmabhoomi 
12265/12266,Delhi Sarai Rohilla,Jammu Tawi,Duronto 
12409/12410,Raigarh,Nizamuddin,Gondwana
12411/12412,Chandigarh,Amritsar,Intercity
12557/12558,Muzaffarpur,Anand Vihar (T),Sapt Kranti 
12413/12414,Ajmer,Jammu Tawi,
12559/12560,Varanasi,New Delhi,Shiv Ganga
12415/12416,Indore,Nizamuddin,
12561/12562 ,Darbhanga,New Delhi,Swatantrata Sainani
12417/12418,Allahabad,New Delhi,Prayagraj
12565/12566,Darbhanga ,New Delhi,Bihar Sampark Kranti
12419/12420,Lucknow,New Delhi,Gomti
12567/12568,Saharsa,Patna,Rajya Rani
12421/12422,Amritsar,Hazur,SahibNanded
12569/12570,Jaynagar,Anand Vihar (T),Garib Rath
12423/12424,Dibrugarh Town,New Delhi,Dibrugarh Town Rajdhani
12577/12578,Darbhanga,Mysore,Bagmati
12425/12426,New Delhi,Jammu Tawi,Jammu Rajdhani
12589/12590,Gorakhpur,Secunderabad,
12427/12428,Rewa,Anand Vihar (T),
12591/12592,Gorakhpur,Yesvantpur,
12431/12432,"Thiruvananthapuram   3,26  35",Nizamuddin,Thiruvananthapuram Rajdhani
12593/12594 ,Lucknow Jn.,Bhopal ,
12601/12602,Chennai,Mangalore,Mail
12433/12434,Chennai,Nizamuddin,Chennai Rajdhani
12603/12604,Chennai,Hyderabad,
12435/12436,Dibrugarh Town,New Delhi,Dibrugarh Town Rajdhani
12437/12438,Secunderabad,Nizamuddin,Secunderabad Rajdhani
12607/12608,Chennai,Bangalore ,Lalbagh 
12439/12440,Ranchi,New Delhi,Ranchi Rajdhani
12609/12610,Chennai ,Bangalore,
12441/12442,Bilaspur,New Delhi,Bilaspur Rajdhani
12611/12612,Chennai,Nizamuddin ,Garib Rath
12443/12444,Anand Vihar (T),Haldia,
12613/12614,Mysore ,Bangalore ,Tippu
12445/12446,New Delhi   16   8,Udhampur,Uttar Sampark Kranti
12615/12616 ,Chennai,New Delhi,Grand Trunk 
12447/12448,"Manikpur  56     2,26",Nizamuddin,Uttar Pradesh Sampark Kranti
12617/12618,Ernakulam,Nizamuddin,Mangala Lakshadweep
12619/12620,Lokmanya Tilak (T),Mangalore,Matsyagandha 
12449/12450,Madgaon,Chandigarh,Goa Sampark Kranti
12621/12622,Chennai   8,New Delhi,Tamil Nadu
12451/12452,Kanpur Central New Delhi Shram Shakti 1,,
12623/12624,Chennai Thiruvananthapuram Mail 86,,
12453/12454,"Ranchi New Delhi Ranchi Rajdhani 1,41",,
12625/12626,"Thiruvananthapuram New Delhi Kerala 8,86",,
12455/12456,Delhi Sarai Rohilla Sri Ganganagar AC 39,,
12457/12458,Delhi Sarai Rohilla Bikaner 59,,
12629/12630,"Yesvantpur Nizamuddin Karnataka 9,19",,
12459/12460,New Delhi Amritsar Intercity 15,,
12461/12462,Delhi Jodhpur Mandore 23,,
12631/12632,Chennai Egmore Tirunelveli Nellai 21,,
12463/12464,Delhi Sarai Rohilla Jodhpur Rajasthan Sampark Kranti 23,,
12633/12634,Chennai Egmore Kanniyakumari 21,,
12465/12466,"Indore Jodhpur Ranthambhore 3,28",,
12635/12636,Chennai Egmore Madurai Vaigai 21,,
12467/12468,Bikaner Jaipur Intercity 28,,
12637/12638,Chennai Egmore Madurai Pandiyan 21,,
12469/12470,Kanpur Jammu Tawi 12,,
12639/12640,Chennai Bangalore Brindavan 20,,
12471/12472,"Bandra (T) Jammu Tawi Swaraj 3,4,16",,
12641/12642,"Kanniyakumari Nizamuddin Thirukkural 8,21",,
12473/12474,"Ahmedabad Jammu Tawi Sarvodaya 4,11,16",,
12643/12644,"Thiruvananthapuram Nizamuddin 8,86",,
12475/12476,"Hapa Jammu Tawi 4,11,16",,
12645/12646,"Ernakulam Nizamuddin Millennium 8,86",,
12477/12478,"Jamnagar Jammu Tawi Sindhu 4,11,16",,
12647/12648,"Coimbatore Nizamuddin Kongu 9,52,86",,
12479/12480,"Jodhpur Bandra (T) Suryanagari 11,23",,
12649/12650,"Yesvantpur Nizamuddin Karnataka 52,9",,
12481/12482,Delhi Sri Ganganagar Intercity 39,,
12483/12484,"Kochuveli Amritsar 3,26,15",,
12651/12652,"Madurai Nizamuddin Tamil Nadu 8,21",,
12485/12486,"Hazur Sahib Nanded Sri Ganganagar 9,39,53 Sampark Kranti",,
12487/12488,Jogbani Anand Vihar (T) Seemanchal 18 12655/12656 Ahmedabad Chennai Navjivan 46,,
12489/12490,"Bikaner Dadar (via Bhildi) 11,23 12657/12658 Chennai Bangalore Mail 20",,
12491/12492,"Muzaffarpur Jammu Tawi Mour Dhwaj 13 12659/12660 Nagercoil Shalimar Gurudev 28,29",,
12495/12496,"Bikaner Kolkata Pratap 28,65 12661/12662 Chennai Egmore Sengottai Pothigai 21",,
12497/12498,"New Delhi Amritsar Shan-e-Punjab 15 12663/12664 Howrah Tiruchchirappalli 21,29",,
12501/12502,"Guwahati New Delhi Poorvottar 18,74 12665/12666 Howrah Kanniyakumari 21,29",,
12667/12668,Chennai Egmore Nagercoil 21,,
12505/12506,"Guwahati Anand Vihar (T) North East 1,18",,
12669/12670,Chennai Chhapra Ganga Kaveri 17,,
12507/12508,"Thiruvananthapuram Guwahati 86,29",,
12671/12672,Chennai Mettupalayam Nilgiri 86,,
12509/12510,Bangalore Guwahati 29,,
12673/12674,Chennai Coimbatore Cheran 86,,
12511/12512,"Gorakhpur Thiruvananthapuram Raptisagar 8,17,35,86",,
12675/12676,Chennai Coimbatore Kovai 86,,
12513/12514,Secunderabad Guwahati 29,,
12677/12678,Bangalore Ernakulam Intercity 86,,
12515/12516,"Thiruvananthapuram Guwahati 86,29",,
12679/12680,Chennai Coimbatore Intercity 86,,
12517/12518,Kolkata Guwahati Garib Rath 14,,
12681/12682,Chennai Coimbatore 86,,
12519/12520,"Lokmanya Tilak (T) Kamakhya AC 18,24",,
12683/12684,Ernakulam Bangalore 86,,
12521/12522,"Barauni Ernakulam Raptisagar 8,17,35,37,86",,
12685/12686,Chennai Mangalore 86,,
12523/12524,New Jalpaiguri New Delhi 18,,
12687/12688,"Madurai Dehradun 8,27,75,86,69",,
12525/12526,"Kolkata Dibrugarh 14,66",,
12689/12690,"Chennai Nagercoil 69,86",,
12531/12532,Gorakhpur Lucknow Intercity 22,,
12691/12692,Chennai Sri Sathya Sai 20,,
12533/12534,Lucknow Mumbai CST Pushpak 35 Prashanti Nilayam,,
12535/12536,Lucknow Jn. Raipur Garib Rath 81 12693/12694 Chennai Egmore Tuticorin Pearl City 21,,
12537/12538,"Muzaffarpur Manduadih 63,64 12695/12696 Chennai Thiruvananthapuram 86",,
12539/12540,Yesvantpur Lucknow 17 12697/12698 Chennai Thiruvananthapuram 86,,
12541/12542,Gorakhpur Lokmanya Tilak (T) 35 12701/12702 Mumbai CST Hyderabad Hussain Sagar 10,,
12545/12546,"Raxaul Lokmanya Tilak (T) Karmabhoomi 90,24 12703/12704 Howrah Secunderabad Falaknuma 30",,
12547/12548,Agra Fort Ahmedabad 23 12705/12706 Guntur Secunderabad 71,,
12549/12550,"Durg Jammu Tawi 81,32,16 12707/12708 Tirupati Nizamuddin Andhra Pradesh 9,71",,
12551/12552,"Yesvantpur Kamakhya AC 29,20,87 Sampark Kranti",,
12553/12554,Barauni New Delhi Vaishali 22 12709/12710 Gudur Secunderabad Simhapuri 71,,
12555/12556,"Gorakhpur Hisar Gorakhdham 22,39 12711/12712 Vijayawada Chennai Pinakini 71",,
12713/12714,Vijayawada Secunderabad Satavahana 71 12869/12870 Mumbai CST Howrah 5,,
12715/12716,"Hazur Sahib Nanded Amritsar Sachkhand 4,15,53 12871/12872 Howrah Titlagarh Ispat 5",,
12717/12718,Visakhapatnam Vijayawada Ratnachal 7 12873/12874 Hatia (via Barkakana) Anand Vihar (T) Jharkhand 41,,
12719/12720,"Ajmer Hyderabad 9,53,54 Swarna Jayanti",,
12721/12722,"Hyderabad Nizamuddin Dakshin 9,42 12875/12876 Puri New Delhi Neelanchal 32",,
12723/12724,"Hyderabad New Delhi Andhra Pradesh 9 12877/12878 Ranchi New Delhi Garib Rath 1,41",,
